Question#,Recode,InstrumentVariableName,FinalDocName,ProcessingVariableLabel,Location,Length
IDN.000_00.000,,,RECTYPE,File type identifier,2-Jan,2
IDN.000_02.000,,,SRVY_YR,Year of National Health Interview Survey,6-Mar,4
IDN.000_04.000,,,HHX,Household Number,12-Jul,6
IDN.000_35.000,,,FMX,Family Number,13 - 14,2
IDN.000_40.000,,FPX,FPX,Person Number (Within family),15 - 16,2
IDN.000_70.000,,,WTFA_SA,Weight - Final Annual,17 - 22,6
UCF.000_00.000,R15 Recode,,STRAT_P,Pseudo-stratum for public-use file variance estimation,23 - 25,3
UCF.000_00.000,R16 Recode,,PSU_P,Pseudo-PSU for public-use file variance estimation,26 - 27,2
ALT.001_00.000,,PROV1,PROV1,Has a personal health care provider,28,1
ALT.002_01.000,,PROVTYP1-PROVTYP4,PROVTYP1,"Personal health care provider is a medical doctor (M.D., D.O.), including specialists",29,1
ALT.002_02.000,,PROVTYP1-PROVTYP4,PROVTYP2,"Personal health care provider is a nurse, nurse practitioner, or physician's assistant",30,1
ALT.002_03.000,,PROVTYP1-PROVTYP4,PROVTYP3,"Personal health care provider is a chiropractor, acupuncturist, or naturopath",31,1
ALT.002_04.000,,PROVTYP1-PROVTYP4,PROVTYP4,Personal health care provider is 'other',32,1
ALT.003_01.000,,PROVUSP1-PROVUSP4,PROVUSP1,"Sees a medical doctor (M.D., D.O.) at usual place of care",33,1
ALT.003_02.000,,PROVUSP1-PROVUSP4,PROVUSP2,"Sees a nurse, nurse practitioner, or physician assistant at usual place of care",34,1
ALT.003_03.000,,PROVUSP1-PROVUSP4,PROVUSP3,"Sees a chiropractor, acupuncturist, or naturopath at usual place of care",35,1
ALT.003_04.000,,PROVUSP1-PROVUSP4,PROVUSP4,Sees another type of provider at usual place of care,36,1
ALT.004_01.000,,PROVRTN1-PROVRTN4,PROVRTN1,"Sees a medical doctor (M.D., D.O.) for routine care",37,1
ALT.004_02.000,,PROVRTN1-PROVRTN4,PROVRTN2,"Sees a nurse, nurse practitioner, or physician assistant for routine care",38,1
ALT.004_03.000,,PROVRTN1-PROVRTN4,PROVRTN3,"Sees a chiropractor, acupuncturist, or naturopath for routine care",39,1
ALT.004_04.000,,PROVRTN1-PROVRTN4,PROVRTN4,"Sees an ""other"" type of provider for routine care",40,1
ALT.010_00.000,,COM_USE,COM_USE,"Used chiropractic or osteopathic manipulation, ever",41,1
ALT.011_00.000,,COM_EVER,COM_EVER,"Saw a practitioner for chiropractic or osteopathic manipulation, ever",42,1
ALT.012_00.000,,COM_USEM,COM_USEM,"Saw a practitioner for chiropractic or osteopathic manipulation, past 12 months",43,1
ALT.013_00.000,,COM_USM,COM_USM,"Used chiropractic or osteopathic manipulation, past 12 months",44,1
ALT.014_00.000,,COM_TYPE,COM_TYPE,Type of practitioner seen for chiropractic or osteopathic manipulation,45,1
ALT.015_00.000,,COM_PMST,COM_PMST,"Type of practitioner seen the most for chiropractic or osteopathic manipulation, past 12 months",46,1
ALT.016_00.000,,COM_PHCP,COM_PHCP,Practitioner seen for chiropractic manipulation is also personal healthcare provider,47,1
ALT.017_00.000,,COM_PTIM,COM_PTIM,"Knows exact number of times saw a practitioner of chiropractic or osteopathic manipulation, past 12 months",48,1
ALT.018_00.000,,COM_TMNO,COM_TMNO,"Exact number of times saw a practitioner for chiropractic or osteopathic manipulation, past 12 months",49 - 50,2
ALT.019_00.000,,COM_TMCT,COM_TMCT,"Approximate number of times saw practitioner for chiropractic or osteopathic manipulation, past 12 months",51 - 52,2
ALT.021_00.000,,COM_HIC,COM_HIC,Any cost of seeing practitioner for chiropractic/osteopathic manipulation was covered by insurance,53,1
ALT.022_00.000,,COM_HICA,COM_HICA,Portion of the cost of seeing practitioner for chiropractic/osteopathic manipulation covered by health insurance,54,1
ALT.023_00.000,,COM_HIT,COM_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for chiropractic/osteopathic manipulation,55,1
ALT.024_00.000,,COM_HITS,COM_HITS,Total amount paid out-of-pocket for seeing a practitioner for chiropractic/osteopathic manipulation,56 - 60,5
ALT.025_00.010,,COM_AVGC,COM_AVGC,Knows average amount paid out-of-pocket for each visit for chiropractic/osteopathic manipulation,61,1
ALT.026_00.000,,COM_AVGS,COM_AVGS,Average out-of-pocket cost paid for each visit to practitioner for chiropractic/osteopathic manipulation,62 - 64,3
ALT.027_00.000,,COM_MAT,COM_MAT,Bought self-help book or other materials to learn about chiropractic/osteopathic manipulation,65,1
ALT.028_00.000,,COM_MATC,COM_MATC,Amount paid for self-help book or other materials to learn about chiropractic/osteopathic manipulation,66 - 68,3
ALT.037_00.000,,MAS_USE,MAS_USE,"Used massage for health, ever",69,1
ALT.038_00.000,,MAS_EVER,MAS_EVER,"Saw a practitioner for massage, ever",70,1
ALT.039_00.000,,MAS_USEM,MAS_USEM,"Saw a practitioner for massage, past 12 months",71,1
ALT.040_00.000,,MAS_USM,MAS_USM,"Used massage, past 12 months",72,1
ALT.041_00.000,,MAS_PTIM,MAS_PTIM,"Knows exact number of times saw a practitioner for massage, past 12 months",73,1
ALT.042_00.000,,MAS_TMNO,MAS_TMNO,"Exact number of times saw a practitioner for massage, past 12 months",74 - 75,2
ALT.043_00.000,,MAS_TMCT,MAS_TMCT,"Approximate number of times saw a practitioner for massage, past 12 months",76 - 77,2
ALT.044_00.000,,MAS_HIC,MAS_HIC,Any cost of seeing practitioner for massage was covered by insurance,78,1
ALT.045_00.000,,MAS_HICA,MAS_HICA,Portion of the cost of seeing practitioner for massage covered by health insurance,79,1
ALT.046_00.000,,MAS_HIT,MAS_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for massage,80,1
ALT.047_00.000,,MAS_HITS,MAS_HITS,Total amount paid out-of-pocket for seeing a practitioner for massage,81 - 85,5
ALT.048_00.000,,MAS_AVGC,MAS_AVGC,Knows average amount paid out-of-pocket for each visit for massage,86,1
ALT.049_00.000,,MAS_AVGS,MAS_AVGS,Average out-of-pocket cost paid for each massage visit,87 - 89,3
ALT.050_00.000,,MAS_MAT,MAS_MAT,Bought self-help book or other materials to learn about massage,90,1
ALT.051_00.000,,MAS_MATC,MAS_MATC,Amount paid for self-help book or other materials to learn about massage,91 - 93,3
ALT.061_00.000,,ACU_USE,ACU_USE,"Used acupuncture for health, ever",94,1
ALT.062_00.000,,ACU_EVER,ACU_EVER,"Saw a practitioner for acupuncture, ever",95,1
ALT.063_00.000,,ACU_USEM,ACU_USEM,"Saw a practitioner for acupuncture, past 12 months",96,1
ALT.064_00.000,,ACU_USM,ACU_USM,"Used acupuncture, past 12 months",97,1
ALT.065_00.000,,ACU_PTIM,ACU_PTIM,"Knows exact number of times saw a practitioner for acupuncture, past 12 months",98,1
ALT.066_00.000,,ACU_TMNO,ACU_TMNO,"Exact number of times saw a practitioner for acupuncture, past 12 months",99 - 100,2
ALT.067_00.000,,ACU_TMCT,ACU_TMCT,"Approximate number of times saw a practitioner for acupuncture, past 12 months",101 - 102,2
ALT.068_00.000,,ACU_HIC,ACU_HIC,Any cost of seeing practitioner for acupuncture was covered by insurance,103,1
ALT.069_00.000,,ACU_HICA,ACU_HICA,Portion of the cost of seeing practitioner for acupuncture covered by health insurance,104,1
ALT.070_00.000,,ACU_HIT,ACU_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for acupuncture,105,1
ALT.071_00.000,,ACU_HITS,ACU_HITS,Total amount paid out-of-pocket for seeing a practitioner for acupuncture,106 - 110,5
ALT.072_00.000,,ACU_AVGC,ACU_AVGC,Knows average amount paid out-of-pocket per visit for acupuncture,111,1
ALT.073_00.000,,ACU_AVGS,ACU_AVGS,Average out-of-pocket cost paid for each acupuncture visit,112 - 114,3
ALT.074_00.000,,ACU_MAT,ACU_MAT,Bought self-help book or other materials to learn about acupuncture,115,1
ALT.075_00.000,,ACU_MATC,ACU_MATC,Amount paid for self-help book or other materials to learn about acupuncture,116 - 118,3
ALT.085_00.000,,EHT_USE,EHT_USE,"Used energy healing therapy for health, ever",119,1
ALT.086_00.000,,EHT_EVER,EHT_EVER,"Saw a practitioner for energy healing therapy, ever",120,1
ALT.087_00.000,,EHT_USEM,EHT_USEM,"Saw a practitioner for energy healing therapy, past 12 months",121,1
ALT.088_00.000,,EHT_USM,EHT_USM,"Used energy healing therapy, past 12 months",122,1
ALT.089_00.000,,EHT_PTIM,EHT_PTIM,"Knows exact number of times saw a practitioner for energy healing therapy, past 12 months",123,1
ALT.090_00.000,,EHT_TMNO,EHT_TMNO,"Exact number of times saw a practitioner for energy healing therapy, past 12 months",124 - 125,2
ALT.091_00.000,,EHT_TMCT,EHT_TMCT,"Approximate number of times saw a practitioner for energy healing therapy, past 12 months",126 - 127,2
ALT.092_00.000,,EHT_HIC,EHT_HIC,Any cost of seeing a practitioner for energy healing therapy was covered by insurance,128,1
ALT.093_00.000,,EHT_HICA,EHT_HICA,Portion of the cost of seeing a practitioner for energy healing therapy covered by health insurance,129,1
ALT.094_00.000,,EHT_HIT,EHT_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for energy healing therapy,130,1
ALT.095_00.000,,EHT_HITS,EHT_HITS,Total amount paid for seeing a practitioner for energy healing therapy,131 - 135,5
ALT.096_00.000,,EHT_AVGC,EHT_AVGC,Knows average amount paid out-of-pocket per visit for energy healing therapy,136,1
ALT.097_00.000,,EHT_AVGS,EHT_AVGS,Average out-of-pocket cost paid for each energy healing therapy visit,137 - 139,3
ALT.098_00.000,,EHT_MAT,EHT_MAT,Bought self-help book or other materials to learn about energy healing therapy,140,1
ALT.099_00.000,,EHT_MATC,EHT_MATC,Amount paid for self-help book or other materials to learn about energy healing therapy,141 - 143,3
ALT.109_00.000,,NAT_USE,NAT_USE,"Used naturopathy for health, ever",144,1
ALT.110_00.000,,NAT_EVER,NAT_EVER,"Saw a practitioner for naturopathy, ever",145,1
ALT.111_00.000,,NAT_USEM,NAT_USEM,"Saw a practitioner for naturopathy, past 12 months",146,1
ALT.112_00.000,,NAT_USM,NAT_USM,"Used naturopathy, past 12 months",147,1
ALT.113_00.000,,NAT_PTIM,NAT_PTIM,"Knows exact number of times saw a practitioner for naturopathy, past 12 months",148,1
ALT.114_00.000,,NAT_TMNO,NAT_TMNO,"Exact number of times saw a practitioner for naturopathy, past 12 months",149 - 150,2
ALT.115_00.000,,NAT_TMCT,NAT_TMCT,"Approximate number of times saw a practitioner for naturopathy, past 12 months",151 - 152,2
ALT.116_00.000,,NAT_HIC,NAT_HIC,Any cost of seeing practitioner for naturopathy was covered by insurance,153,1
ALT.117_00.000,,NAT_HICA,NAT_HICA,Portion of the cost of seeing practitioner for naturopathy covered by insurance,154,1
ALT.118_00.000,,NAT_HIT,NAT_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for naturopathy,155,1
ALT.119_00.000,,NAT_HITS,NAT_HITS,Total amount paid out-of-pocket for seeing a practitioner for naturopathy,156 - 160,5
ALT.120_00.000,,NAT_AVGC,NAT_AVGC,Knows average amount paid out-of-pocket per visit for seeing a practitioner for naturopathy,161,1
ALT.121_00.000,,NAT_AVGS,NAT_AVGS,Average out-of-pocket cost paid for each naturopathy visit,162 - 164,3
ALT.122_00.000,,NAT_MAT,NAT_MAT,Bought self-help book or other materials to learn about naturopathy,165,1
ALT.123_00.000,,NAT_MATC,NAT_MATC,Amount paid for self-help book or other materials to learn about naturopathy,166 - 168,3
ALT.133_00.000,,HYP_USE,HYP_USE,"Used hypnosis for health, ever",169,1
ALT.134_00.000,,HYP_EVER,HYP_EVER,"Saw a practitioner for hypnosis, ever",170,1
ALT.135_00.000,,HYP_USEM,HYP_USEM,"Saw a practitioner for hypnosis, past 12 months",171,1
ALT.136_00.000,,HYP_BRTH,HYP_BRTH,Did breathing exercises as part of hypnosis,172,1
ALT.137_00.000,,HYP_USM,HYP_USM,"Used hypnosis, past 12 months",173,1
ALT.138_00.000,,HYP_PTIM,HYP_PTIM,"Knows exact number of times saw a practitioner for hypnosis, past 12 months",174,1
ALT.139_00.000,,HYP_TMNO,HYP_TMNO,"Exact number of times saw a practitioner for hypnosis, past 12 months",175 - 176,2
ALT.140_00.000,,HYP_TMCT,HYP_TMCT,"Approximate number of times saw a practitioner for hypnosis, past 12 months",177 - 178,2
ALT.141_00.000,,HYP_HIC,HYP_HIC,Any cost of seeing practitioner for hypnosis was covered by insurance,179,1
ALT.142_00.000,,HYP_HICA,HYP_HICA,Portion of the cost of seeing practitioner for hypnosis covered by insurance,180,1
ALT.143_00.000,,HYP_HIT,HYP_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for hypnosis,181,1
ALT.144_00.000,,HYP_HITS,HYP_HITS,Total amount paid out-of-pocket for seeing a practitioner for hypnosis,182 - 186,5
ALT.145_00.000,,HYP_AVGC,HYP_AVGC,Knows average amount paid out-of-pocket per visit for seeing a practitioner for hypnosis,187,1
ALT.146_00.000,,HYP_AVGS,HYP_AVGS,Average amount paid out-of-pocket per visit for seeing a practitioner for hypnosis,188 - 190,3
ALT.147_00.000,,HYP_MAT,HYP_MAT,Bought self-help book or other materials to learn about hypnosis,191,1
ALT.148_00.000,,HYP_MATC,HYP_MATC,Amount paid for self-help book or other materials to learn about hypnosis,192 - 194,3
ALT.158_00.000,,BIO_USE,BIO_USE,"Used biofeedback for health, ever",195,1
ALT.159_00.000,,BIO_EVER,BIO_EVER,"Saw a practitioner for biofeedback, ever",196,1
ALT.160_00.000,,BIO_USEM,BIO_USEM,"Saw a practitioner for biofeedback, past 12 months",197,1
ALT.161_00.000,,BIO_BRTH,BIO_BRTH,Did breathing exercises as part of biofeedback,198,1
ALT.162_00.000,,BIO_USM,BIO_USM,"Used biofeedback, past 12 months",199,1
ALT.163_00.000,,BIO_PTIM,BIO_PTIM,"Knows exact number of times saw a practitioner for biofeedback, past 12 months",200,1
ALT.164_00.000,,BIO_TMNO,BIO_TMNO,"Exact number of times saw a practitioner for biofeedback, past 12 months",201 - 202,2
ALT.165_00.000,,BIO_TMCT,BIO_TMCT,"Approximate number of times saw a practitioner for biofeedback, past 12 months",203 - 204,2
ALT.166_00.000,,BIO_HIC,BIO_HIC,Any cost of seeing practitioner for biofeedback was covered by insurance,205,1
ALT.167_00.000,,BIO_HICA,BIO_HICA,Portion of the cost of seeing practitioner for biofeedback covered by insurance,206,1
ALT.168_00.000,,BIO_HIT,BIO_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for,207,1
ALT.169_00.000,,BIO_HITS,BIO_HITS,Total amount paid out-of-pocket for seeing a practitioner for biofeedback,208 - 212,5
ALT.170_00.000,,BIO_AVGC,BIO_AVGC,Knows average amount paid out-of-pocket per visit for seeing a practitioner for biofeedback,213,1
ALT.171_00.000,,BIO_AVGS,BIO_AVGS,Average amount paid out-of-pocket per visit for biofeedback,214 - 216,3
ALT.172_00.000,,BIO_MAT,BIO_MAT,Bought self-help book or other materials to learn about biofeedback,217,1
ALT.173_00.000,,BIO_MATC,BIO_MATC,Amount paid for self-help book or other materials to learn about biofeedback,218 - 220,3
ALT.183_00.000,,AYU_USE,AYU_USE,"Used ayurveda for health, ever",221,1
ALT.184_00.000,,AYU_EVER,AYU_EVER,"Saw a practitioner for ayurveda, ever",222,1
ALT.185_00.000,,AYU_USEM,AYU_USEM,"Saw a practitioner for ayurveda, past 12 months",223,1
ALT.186_00.000,,AYU_USM,AYU_USM,"Used ayurveda, past 12 months",224,1
ALT.187_00.000,,AYU_PTIM,AYU_PTIM,"Knows exact number of times saw a practitioner for ayurveda, past 12 months",225,1
ALT.188_00.000,,AYU_TMNO,AYU_TMNO,"Exact number of times saw a practitioner for ayurveda, past 12 months",226 - 227,2
ALT.189_00.000,,AYU_TMCT,AYU_TMCT,"Approximate number of times saw a practitioner for ayurveda, past 12 months",228 - 229,2
ALT.190_00.000,,AYU_HIC,AYU_HIC,Any cost of seeing practitioner for ayurveda was covered by insurance,230,1
ALT.191_00.000,,AYU_HICA,AYU_HICA,Portion of the cost of seeing practitioner for ayurveda covered by insurance,231,1
ALT.192_00.000,,AYU_HIT,AYU_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for ayurveda,232,1
ALT.193_00.000,,AYU_HITS,AYU_HITS,Total amount paid out-of-pocket for seeing a practitioner for ayurveda,233 - 237,5
ALT.194_00.000,,AYU_AVGC,AYU_AVGC,Knows average amount paid out-of-pocket per visit for ayurveda,238,1
ALT.195_00.000,,AYU_AVGS,AYU_AVGS,Average out-of-pocket cost paid for each ayurveda visit,239 - 241,3
ALT.196_00.000,,AYU_MAT,AYU_MAT,Bought self-help book or other materials to learn about ayurveda,242,1
ALT.197_00.000,,AYU_MATC,AYU_MATC,Amount paid for self-help book or other materials to learn about ayurveda,243 - 245,3
ALT.207_00.000,,CHE_USE,CHE_USE,"Used chelation therapy for health, ever",246,1
ALT.208_00.000,,CHE_EVER,CHE_EVER,"Saw a practitioner for chelation therapy, ever",247,1
ALT.209_00.000,,CHE_USEM,CHE_USEM,"Saw a practitioner for chelation therapy, past 12 months",248,1
ALT.210_00.000,,CHE_USM,CHE_USM,"Used chelation therapy, past 12 months",249,1
ALT.211_00.000,,CHE_PTIM,CHE_PTIM,"Knows exact number of times saw a practitioner for chelation therapy, past 12 months",250,1
ALT.212_00.000,,CHE_TMNO,CHE_TMNO,"Exact number of times saw a practitioner for chelation therapy, past 12 months",251 - 252,2
ALT.213_00.000,,CHE_TMCT,CHE_TMCT,"Approximate number of times saw a practitioner for chelation therapy, past 12 months",253 - 254,2
ALT.214_00.000,,CHE_HIC,CHE_HIC,Any cost of seeing practitioner for chelation therapy was covered by insurance,255,1
ALT.215_00.000,,CHE_HICA,CHE_HICA,Portion of the cost of seeing practitioner for chelation therapy covered by insurance,256,1
ALT.216_00.000,,CHE_HIT,CHE_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for chelation therapy,257,1
ALT.217_00.000,,CHE_HITS,CHE_HITS,Total amount paid out-of-pocket for seeing a practitioner for chelation therapy,258 - 262,5
ALT.218_00.000,,CHE_AVGC,CHE_AVGC,Knows average amount paid out-of-pocket per visit for chelation therapy,263,1
