FinalDocName,Processing Variable Label ,Location ,Length 
RECTYPE,File type identifier ,   1 -   2 ,2
SRVY_YR,Year of National Health Interview Survey ,   3 -   6 ,4
HHX,Household Number ,   7 - 12  ,6
INTV_QRT,Interview Quarter ,13,1
INTV_MON,Interview Month ,  14 - 15 ,2
FMX,Family Number ,  16 - 17 ,2
FPX,Person Number (Within family) ,  18 - 19 ,2
WTIA,Weight - Interim Annual ,  20 - 25 ,6
WTFA,Weight - Final Annual ,  26 - 31 ,6
REGION,Region ,32,1
STRAT_P,Pseudo-stratum for public-use file variance estimation ,  33 - 35 ,3
PSU_P,Pseudo-PSU for public-use file variance estimation ,  36 - 37 ,2
SEX,Sex ,38,1
ORIGIN_I,Hispanic Ethnicity ,39,1
ORIGIMPT,Hispanic Origin Imputation Flag ,40,1
HISPAN_I,Hispanic subgroup detail ,  41 - 42 ,2
HISPIMPT,Type of Hispanic Origin Imputation Flag ,43,1
RACERPI2,OMB groups w/multiple race ,  44 - 45 ,2
RACEIMP2,Race Imputation Flag ,46,1
MRACRPI2,Race coded to single/multiple race group ,  47 - 48 ,2
MRACBPI2,Race coded to single/multiple race group ,  49 - 50,2
RACRECI3,Race Recode ,51,1
HISCODI3,Race/ethnicity recode ,52,1
ERIMPFLG,Ethnicity/Race Imputation Flag ,53,1
NOWAF,Armed Forces Status ,54,1
RRP,Relationship to the HH reference person ,  55 - 56 ,2
HHREFLG,HH Reference Person Flag ,57,1
FRRP,Relationship to family ref. Person ,  58 - 59 ,2
DOB_M,Month of Birth ,  60 - 61 ,2
DOB_Y_P,Year of Birth ,  62 - 65 ,4
AGE_P,Age ,  66 - 67 ,2
AGE_CHG,Indication of AGE correction due to data entry error ,68,1
FMRPFLG,Family Respondent Flag ,69,1
FMREFLG,Family Reference Person Flag ,70,1
R_MARITL,Marital Status ,71,1
FSPOUS2,Person # of spouse ,  72 - 73 ,2
COHAB1,Cohabiting person ever married ,74,1
COHAB2,Cohabiting person's current marital status ,75,1
FCOHAB3,Person # of partner ,  76 - 77 ,2
CDCMSTAT,CDC standard for legal marital status ,78,1
SIB_DEGP,Degree of sibling relationship to HH reference person ,79,1
FMOTHER1,Person # of mother ,  80 - 81 ,2
MOM_DEGP,Type of relationship with Mother ,82,1
FFATHER1,Person # of father ,  83 - 84 ,2
DAD_DEGP,Type of relationship with Father ,85,1
PARENTS,Parent(s) present in the family ,86,1
MOM_ED,Education of Mother ,  87 - 88 ,2
DAD_ED,Education of Father ,  89 - 90 ,2
ASTATFLG,Sample Adult Flag ,91,1
CSTATFLG,Sample Child Flag ,92,1
QCADULT,Quality control flag for sample adult ,93,1
QCCHILD,Quality control flag for sample child ,94,1
FDRN_FLG,Disability Questions flag ,95,1
PLAPLYLM,Is - - limited in kind/amount play?  ,96,1
PLAPLYUN,Is - - able to play at all? ,97,1
PSPEDEIS,Does - - receive Special Education or EIS? ,98,1
PSPEDEM,Receive Special Education/EIS due to emotional/behavioral problem ,99,1
PLAADL,Does - - need help with personal care? ,100,1
LABATH,Does - - need help with bathing/showering? ,101,1
LADRESS,Does - - need help dressing? ,102,1
LAEAT,Does - - need help eating? ,103,1
LABED,Does - - need help in/out of bed or chairs? ,104,1
LATOILT,Does - - need help using the toilet? ,105,1
LAHOME,Does - - need help to get around in the home? ,106,1
PLAIADL,Does - - need help with routine needs? ,107,1
PLAWKNOW,Is - - unable to work NOW due to health problem? ,108,1
PLAWKLIM,Is - - limited in kind/amount of work? ,109,1
PLAWALK,Does - - have difficulty walking without equipment? ,110,1
PLAREMEM,Is - - limited by difficulty remembering? ,111,1
PLIMANY,Is - - limited in any (other) way? ,112,1
LA1AR,"Any limitation - all persons, all conditions ",113,1
LAHCC1,Vision/problem seeing causes limitation ,114,1
LAHCC2,Hearing problem causes limitation ,115,1
LAHCC3,Speech problem causes limitation ,116,1
LAHCC4,Asthma/breathing problem causes limitation ,117,1
LAHCC5,Birth defect causes limitation ,118,1
LAHCC6,Injury causes limitation ,119,1
LAHCC7A,"Intellectual disability, also known as mental retardation causes limitation ",120,1
LAHCC8,"Other developmental problem (e.g., cerebral palsy) causes limitation ",121,1
LAHCC9,"Other mental, emotional, or behavioral problem causes limitation ",122,1
LAHCC10,"Bone, joint, or muscle problem causes limitation ",123,1
LAHCC11,Epilepsy or seizures cause limitation ,124,1
LAHCC12,Learning disability causes limitation ,125,1
LAHCC13,Attention Deficit/Hyperactivity Disorder (ADD/ADHD) causes limitation ,126,1
LAHCC90,Other impairment/problem (1) causes limitation ,127,1
LAHCC91,Other impairment/problem (2) causes limitation ,128,1
LCTIME1,Duration of vision problem: Number of units , 129 - 130 ,2
LCUNIT1,Duration of vision problem: Time unit ,131,1
LCDURA1,Duration of vision problem (in years) , 132 - 133 ,2
LCDURB1,Duration of vision problem recode 2 ,134,1
LCCHRC1,Vision problem condition status ,135,1
LCTIME2,Duration of hearing problem: Number of units , 136 - 137 ,2
LCUNIT2,Duration of hearing problem: Time unit ,138,1
LCDURA2,Duration of hearing problem (in years) , 139 - 140 ,2
LCDURB2,Duration of hearing problem recode 2 ,141,1
LCCHRC2,Hearing problem condition status ,142,1
LCTIME3,Duration of speech problem: Number of units , 143 - 144 ,2
LCUNIT3,Duration of speech problem: Time unit ,145,1
LCDURA3,Duration of speech problem (in years) , 146 - 147 ,2
LCDURB3,Duration of speech problem recode 2 ,148,1
LCCHRC3,Speech problem condition status ,149,1
LCTIME4,Duration of asthma/breathing problem: Number of units , 150 - 151 ,2
LCUNIT4,Duration of asthma/breathing problem: Time unit ,152,1
LCDURA4,Duration of asthma/breathing problem (in years) , 153 - 154 ,2
LCDURB4,Duration of asthma/breathing problem recode 2 ,155,1
LCCHRC4,Asthma/breathing problem condition status ,156,1
LCTIME5,Duration of birth defect: Number of units , 157 - 158 ,2
LCUNIT5,Duration of birth defect: Time unit ,159,1
LCDURA5,Duration of birth defect (in years) , 160 - 161 ,2
LCDURB5,Duration of birth defect recode 2 ,162,1
LCCHRC5,Birth defect condition status ,163,1
LCTIME6,Duration of injury: Number of units , 164 - 165 ,2
LCUNIT6,Duration of injury: Time unit ,166,1
LCDURA6,Duration of injury (in years) , 167 - 168 ,2
LCDURB6,Duration of injury recode 2 ,169,1
LCCHRC6,Injury condition status ,170,1
LCTIME7A,"Duration of intellectual disability, AKA mental retardation: Number of units ", 171 - 172 ,2
LCUNIT7A,"Duration of intellectual disability, also known as mental retardation: Time unit ",173,1
LCDURA7A,"Duration of intellectual disability, also known as mental retardation (in years) ", 174 - 175 ,2
LCDURB7A,"Duration of intellectual disability, also known as mental retardation recode 2 ",176,1
LCCHRC7A,"Intellectual disability, also known as mental retardation condition status ",177,1
LCTIME8,Duration of other developmental problem: Number of units , 178 - 179 ,2
LCUNIT8,Duration of other developmental problem: Time unit ,180,1
LCDURA8,Duration of other developmental problem (in years) , 181 - 182 ,2
LCDURB8,Duration of other developmental problem recode 2 ,183,1
LCCHRC8,Other developmental problem condition status ,184,1
LCTIME9,Duration of other mental/emotional/behavioral problem: Number of units , 185 - 186 ,2
LCUNIT9,"Duration of other mental, emotional, or behavioral problem: Number of units ",187,1
LCDURA9,"Duration of other mental, emotional, or behavioral problem (in years) ", 188 - 189 ,2
LCDURB9,"Duration of other mental, emotional, or behavioral problem recode 2 ",190,1
LCCHRC9,"Other mental, emotional, or behavioral problem condition status ",191,1
LCTIME10,"Duration of bone, joint, or muscle problem: Number of units ", 192 - 193 ,2
LCUNIT10,"Duration of bone, joint, or muscle problem: Time unit ",194,1
LCDURA10,"Duration of bone, joint, or muscle problem (in years) ", 195 - 196 ,2
LCDURB10,"Duration of bone, joint, or muscle problem recode 2 ",197,1
LCCHRC10,"Bone, joint, or muscle problem condition status ",198,1
LCTIME11,Duration of epilepsy or seizures: Number of units , 199 - 200 ,2
LCUNIT11,Duration of epilepsy or seizures: Time unit ,201,1
LCDURA11,Duration of epilepsy or seizures (in years) , 202 - 203 ,2
LCDURB11,Duration of epilepsy or seizures recode 2 ,204,1
LCCHRC11,Epilepsy or seizures condition status ,205,1
LCTIME12,Duration of learning disability: Number of units , 206 - 207 ,2
LCUNIT12,Duration of learning disability: Time unit ,208,1
LCDURA12,Duration of learning disability (in years) , 209 - 210 ,2
LCDURB12,Duration of learning disability recode 2 ,211,1
LCCHRC12,Learning disability condition status ,212,1
LCTIME13,Duration of attention deficit/hyperactivity disorder (ADD/ADHD): Number of units , 213 - 214 ,2
LCUNIT13,Duration of attention deficit/hyperactivity disorder (ADD/ADHD): Time unit ,215,1
LCDURA13,Duration of attention deficit/hyperactivity disorder (ADD/ADHD) (in years) , 216 - 217 ,2
LCDURB13,Duration of attention deficit/hyperactivity disorder (ADD/ADHD) recode 2 ,218,1
LCCHRC13,Attention deficit/hyperactivity disorder (ADD/ADHD) condition status ,219,1
LCTIME90,Duration of other impairment problem (1): Number of units , 220 - 221 ,2
